Relatório de termos de pesquisa
9 de agosto de 2026 - 12 de agosto de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Campanha,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Tipo de campanha,Taxa de conv.,Conversões,Custo / conv.
essência para aromatizador,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
odorite marketing olfativo,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,5,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheirinho para banheiro,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,3,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
comprar essencia daslu,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
trousseau l air du printemps,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheirobom com br,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador spray automático,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,3,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador de ambientes grandes,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
leroy merlin aromatizador de ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
pear e freesia,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheirinho de quarto,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
perfume de ambiente automatico,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
melhores difusores oleo essencial,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
home spray,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
perfumes ambientes,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
difusor jo malone,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador de ambiente industrial,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,5,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador de ambiente comercial,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,3,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro bom aromatizador,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,4,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
santo aroma,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,4,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
borrifador de aroma automatico,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
odorização de ambientes,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromas ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador panvel,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromorie,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
ambientador glade,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
spray ambiente granado,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,1,1,"100,00%",BRL,"1,13","1,13",Performance Max,"0,00%","0,00","0,00"
aromatizante ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
green peonia reserva brasil,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador de,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro da loja mmartan,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
