"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"[CONVERSÃO] REMARTKETING",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Visitantes",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] OSDE - FB",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Semelhante",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] Famosos",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Engajados",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,250,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VISUALIZAÇÃO] Processo Anitta",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VISUALIZAÇÃO] Explicando emoções",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Explicação",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Thruplay",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - 24 horas",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,150,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VISUALIZAÇÃO] Reflexão sociedade",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Virada",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Anitta",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VISUALIZAÇÃO] Thaís",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[MMM] [CONVERSÃO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[AFILIAGRAM] [CONVERSÃO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] LISTA DE ESPERA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,15,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ALCANCE] LISTA DE ESPERA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA - Engajados",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA - 24horas",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,150,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA - Anitta",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA - Thais",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] REMARTKETING NOVA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[WPP] OSDE NOVA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA 3",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE NOVA 4",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] OSDE - Semelhantes",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[WPP] RAFAELA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[RP] [CONVERSÃO] Teste Público",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VISUALIZAÇÃO DE VÍDEO] [MARCOS]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ENGAJAMENTO] [MARCOS]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [QUENTE]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] - INTERESSE",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"Cópia  — [CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] - INTERESSE",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
