"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-13,2026-08-13,"Publicação do Instagram: Sobrecarregado pelas...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"Publicação do Instagram: Até quando você vai...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,11,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"Publicação do Instagram: Qual é a verdadeira...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"Publicação do Instagram: Aceitar e reconhecer que...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"Publicação do Instagram: Quais são os “pneus...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,11,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"Publicação do Instagram: A solução para suas...",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] Imersão [QUENTE]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [A DIRECÃO] [AUTO] -BOLETO PARCELADO LIBERADO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [VENDAS] [PROVA SOCIAL] -RMKT - VAGAS ABERTAS  - PROVA SOCIAL",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [VENDAS] [PROVA SOCIAL] -RMKT - VAGAS ABERTAS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [A DIRECÃO] [AUTO] - LEMBRETE DO EVENTO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [A DIRECÃO] [AUTO] - ATIVAR O LEMBRETE",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [A DIRECÃO] [AUTO] - MANISFESTO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRAFEGO] [A DIRECÃO] [GRUPO VIP]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [QUENTE] -  ADS 05 - PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[VIDEO VIEW] [AQUECIMENTO] [A DIRECÃO] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[VIDEO VIEW] [AQUECIMENTO] [A DIRECÃO] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [CADASTRO] [A DIRECÃO] [AUTO] [FRIO]  - NOVOS CRIATIVOS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [CADASTRO] [A DIRECÃO] [AUTO] [QUENTE]  - TESTE DE HIERARQUIA - NOVOS CRIATIVOS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [QUENTE] - 12 a 18 ads -  PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] -  INTERESSE - 8 a 17ADS - PAGINA 01 - ESCALA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] -  SEMELHANTE - 8 a 17ADS - PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] -  INTERESSE - 8 a 17ADS - PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [QUENTE] - 12 a 18 ads -  PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] - 8 a 12ADS - PAGINA 03",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] - 8 a 12ADS - PAGINA 02",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [FRIO] - 8 a 12ADS - PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [LEADS] [A DIRECÃO] [AUTO] [QUENTE] - 8 a 12 ads -  PAGINA 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA] [PERPETUO] [AUTO] [FRIO] - ABERTO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [CADASTRO] [O FIM] [AUTO] [QUENTE]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [CADASTRO] [O FIM] [AUTO] [QUENTE]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA] [PERPETUO] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [CADASTRO] [O FIM] [AUTO] [QUENTE] - TODOS ENVOLVIDOS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA] [PERPETUO] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA] [5EF] [QUENTE]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA]  [QUENTE] [RMKT]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[CONVERSÃO] [COMPRA]  [QUENTE] - Destrave Seu Destino",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - ESTOU AO VIVO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - É HOJE",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - É AMANHA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - FALTA 3 DIAS - CLIQUE NO LINK",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - FALTA 5 DIAS - VISUALIZACAO DE PAG",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-13,2026-08-13,"[TRÁFEGO] [LEMBRETE] [5FE] - FALTA 5 DIAS - CLIQUE NO LINK",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
