"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"#AD006 -  Vídeo Camila",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD17 - Imagem v2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 03 - Schi",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 01 - Influencer",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD10 - Não vai dizer que ainda usa spray",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD29 - Estático - Cupom MAQUINA10  - Queridinho famosas",active,"Clique de 7 dias ou visualização de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,1193,2.512154,119.9,300,Diário,119.9,Contínuo,–,–,–,2997,40.006673,27,,4.440741,0.900901,43,1.434768,2.788372,26,4.611538,,0.427857,0,51.3,,
2026-05-01,2026-08-08,"AD30 - Estático - Cupom MAQUINA10  - Ambiente - Experiência",active,"Clique de 7 dias ou visualização de 1 dia",,,401,1.55611,,300,Diário,35.4,Contínuo,–,–,–,624,56.730769,8,,4.425,1.282051,8,1.282051,4.425,9,3.933333,,,0,0,,
2026-05-01,2026-08-08,Dani,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,25,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Reinaldo 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,25,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Schi 1",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,80,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
