"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"03 [PARTE 04] Viu 01 e 02 e não seguiu",active,"Clique de 1 dia",665,profile_visit_view,13812,1.378439,0.34753383,20,Diário,231.11,Contínuo,2026-07-28,19039,12.138768,735,,0.314435,3.860497,846,4.443511,0.27318,213,1.085023,,,0,0,,
2026-05-01,2026-08-08,"[PET] Adv+ Amplo BR - Sem Segmentação",inactive,"Clique de 7 dias ou visualização de 1 dia",3,actions:offsite_conversion.fb_pixel_purchase,10359,1.764649,370.3,"Usando orçamento da campanha",0,1110.9,Contínuo,2026-07-28,18280,60.771335,179,,6.206145,0.979212,2950,16.137856,0.376576,149,7.455705,,2.254919,0,2504.99,,
2026-05-01,2026-08-08,Aberto,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,67,Diário,0,Contínuo,2025-01-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Quente,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,67,Diário,0,Contínuo,2025-01-14,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Reino Unido",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-02-05,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio - Advantage",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-09-17,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Reforma,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-20,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 07 - Frio - Advantage",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-24,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Masterchef - AD 4",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-25,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Quanto Custa",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Mesa Sem Cor",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Visualizaram vídeo",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,2025-11-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Público Interesse",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,2025-11-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Alpha + SP - Gkay",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,60,Diário,0,Contínuo,2025-11-21,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Engajamento Vídeos Natal - Mais pessoas",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2025-11-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Alphaville - Casa e clínicas",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-12-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Médico - Aberto",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-01-06,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Médico - SP",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-01-07,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"01 [AUTO] Profissionais liberais",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2026-01-28,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"01 [INSTA] Clínicas e médicos",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-03,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Barberaria,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-07,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Mix,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,40,Diário,0,Contínuo,2026-02-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Igreja,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"02 [AUTO] Look a like 1% site - Teste com Rio de Janeiro e Minas Gerais",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-02-19,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [INSTA] Remarketing",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Advantage+ 2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,2026-02-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio - Advantage - Vídeo",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-18,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 01 - Frio - Advantage",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-24,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Masterchef - AD 2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-25,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Estilo e Sofisticação",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Mesa Sem Graça",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Frio Advantage - 47",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-10-05,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Frio,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-10-05,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Frio,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,20,Diário,0,Contínuo,2025-10-06,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Teste Região - Interesses",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-11-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"São Paulo Capital",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-11-20,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Alphaville + Sp",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Diário,0,Contínuo,2025-11-22,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Engajamento Vídeos Natal - Mais vezes",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2025-11-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Casa e clínicas - SP",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-12-29,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Brasil,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-12-29,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Médico,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-01-04,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,SP,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,100,Diário,0,Contínuo,2026-01-07,0,0,,,,,0,0,0,,,,,0,0,,
