"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"AD 05",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 06",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"19 - Adeus Difusor de Vareta",active,"Clique de 7 dias ou visualização de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,1565,1.219808,195.5,200,Diário,195.5,Contínuo,"Abaixo da média – 35% mais baixos dos anúncios","Acima da média","Abaixo da média – 35% mais baixos dos anúncios",1909,102.409639,31,,6.306452,1.623887,43,2.252488,4.546512,27,7.240741,,5.953964,0,1164,,
2026-08-09,2026-08-13,"OFF - AD 01 - Influencer",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - AD 04 - Juju",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - AD 04 - Reinaldo V2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"29 - Máquina 40m² - V2",active,"Clique de 7 dias ou visualização de 1 dia",3,actions:offsite_conversion.fb_pixel_purchase,5989,1.597429,265.02,200,Diário,795.06,Contínuo,"Na média","Acima da média","Na média",9567,83.104421,217,,3.663871,2.268214,292,3.052158,2.722808,198,4.015455,,8.004993,0,6364.45,,
2026-08-09,2026-08-13,"05 - Não É Spray, É Máquina",active,"Clique de 7 dias ou visualização de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,120,1.258333,17.33,200,Diário,17.33,Contínuo,–,–,–,151,114.768212,3,,5.776667,1.986755,3,1.986755,5.776667,1,17.33,,66.578188,0,1153.8,,
2026-08-09,2026-08-13,"06 - Reinaldo Base",active,"Clique de 7 dias ou visualização de 1 dia",2,actions:offsite_conversion.fb_pixel_purchase,156,1.032051,4.67,200,Diário,9.34,Contínuo,–,–,–,161,58.012422,5,,1.868,3.10559,7,4.347826,1.334286,4,2.335,,344.383298,0,3216.54,,
2026-08-09,2026-08-13,"OFF - #AD006 -  Vídeo Camila",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - AD 06",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"30 - Máquina 100m² - Comenta QUERO",active,"Clique de 7 dias ou visualização de 1 dia",,,62,1.064516,,200,Diário,6.39,Contínuo,–,–,–,66,96.818182,1,,6.39,1.515152,1,1.515152,6.39,1,6.39,,,0,0,,
2026-08-09,2026-08-13,"31 - Chega de Aerossol - Nano Nebulização",active,"Clique de 7 dias ou visualização de 1 dia",,,41,1.097561,,200,Diário,4.95,Contínuo,–,–,–,45,110,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD007,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 02 - Reinaldo LP V2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 03 - Famosas LP V2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 04 - Lancamento LP V2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"#AD10 - Não vai dizer que ainda usa spray",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD11,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,#AD009,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
