"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Idade,Gênero,"Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes",65+,male,active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,79,1.164557,,"Usando o orçamento do conjunto de anúncios",0,15.12,Contínuo,92,164.347826,4,,3.78,4.347826,6,6.521739,2.52,5,3.024,,,0,0,,
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes",65+,unknown,active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1,1,,"Usando o orçamento do conjunto de anúncios",0,0.82,Contínuo,1,820,1,,0.82,100,1,100,0.82,2,0.41,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",18-24,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,3,1,,150,Diário,0.22,Contínuo,3,73.333333,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",18-24,unknown,inactive,"Clique de 7 dias ou visualização de 1 dia",,,1,1,,150,Diário,0.03,Contínuo,1,30,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",25-34,female,inactive,"Clique de 7 dias ou visualização de 1 dia",,,27,1.037037,,150,Diário,5.74,Contínuo,28,205,,,,,2,7.142857,2.87,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",25-34,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,13,1,,150,Diário,1.17,Contínuo,13,90,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",35-44,female,inactive,"Clique de 7 dias ou visualização de 1 dia",,,47,1.042553,,150,Diário,7.86,Contínuo,49,160.408163,1,,7.86,2.040816,5,10.204082,1.572,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",35-44,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,41,1.097561,,150,Diário,4.84,Contínuo,45,107.555556,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",45-54,female,inactive,"Clique de 7 dias ou visualização de 1 dia",,,67,1.029851,,150,Diário,6.73,Contínuo,69,97.536232,1,,6.73,1.449275,7,10.144928,0.961429,1,6.73,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",45-54,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,34,1.235294,,150,Diário,3.55,Contínuo,42,84.52381,,,,,3,7.142857,1.183333,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",55-64,female,inactive,"Clique de 7 dias ou visualização de 1 dia",,,104,1.038462,,150,Diário,10.12,Contínuo,108,93.703704,1,,10.12,0.925926,22,20.37037,0.46,1,10.12,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",55-64,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,35,1.028571,,150,Diário,1.58,Contínuo,36,43.888889,,,,,7,19.444444,0.225714,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",55-64,unknown,inactive,"Clique de 7 dias ou visualização de 1 dia",,,1,1,,150,Diário,0.01,Contínuo,1,10,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",65+,female,inactive,"Clique de 7 dias ou visualização de 1 dia",,,114,1.04386,,150,Diário,2.96,Contínuo,119,24.87395,3,,0.986667,2.521008,32,26.890756,0.0925,3,0.986667,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",65+,male,inactive,"Clique de 7 dias ou visualização de 1 dia",,,27,1,,150,Diário,0.82,Contínuo,27,30.37037,1,,0.82,3.703704,5,18.518519,0.164,,,,,0,0,,
